date,avg_temperature
2023-03-21,-1.95
2023-03-20,1.04
2023-03-19,2.45
2023-03-18,0.84
2023-03-17,1.55
2023-03-16,-1.85
2023-03-15,-11
2023-03-14,-15.5
2023-03-13,-14.3
2023-03-12,-20.39
2023-03-11,-16.95
2023-03-10,-11.4
2023-03-09,-14.64
2023-03-08,-20.14
2023-03-07,-14.95
2023-03-06,-22.6
2023-03-05,-20.39
2023-03-04,-15.2
2023-03-03,-13.45
2023-03-02,-12.55
2023-03-01,-11.1
2023-02-28,-23.85
2023-02-27,-20.95
2023-02-26,-19.14
2023-02-25,-13.45
2023-02-24,-13.75
2023-02-23,-21.55
2023-02-22,-17.05
2023-02-21,-12.45
2023-02-20,-10.85
2023-02-19,-6.55
2023-02-18,-8.85
2023-02-17,-13.45
2023-02-16,-8.55
2023-02-15,-7.15
2023-02-14,-13.55
2023-02-13,-6.5
2023-02-12,-3.35
2023-02-11,-3.3
2023-02-10,-9.05
2023-02-09,-8.65
2023-02-08,-6.55
2023-02-07,-5.35
2023-02-06,-3.34
2023-02-05,-13.5
2023-02-04,-14.05
2023-02-03,-12.39
2023-02-02,-13.15
2023-02-01,-10.8
2023-01-31,-9.15
2023-01-30,-9
2023-01-29,-10.19
2023-01-28,-13
2023-01-27,-7.94
2023-01-26,-0.3
2023-01-25,3.75
2023-01-24,-0.05
2023-01-23,-0.25
2023-01-22,-3.25
2023-01-21,-1.1
2023-01-20,-2.1
2023-01-19,-5.35
2023-01-18,-5.9
2023-01-17,-5.6
2023-01-16,-8.65
2023-01-15,-11.3
2023-01-14,-12.15
2023-01-13,-14.6
2023-01-12,-17.14
2023-01-11,-14.1
2023-01-10,-11.75
2023-01-09,-13.4
2023-01-08,-9.75
2023-01-07,-11.65
2023-01-06,-13.1
2023-01-05,-12
2023-01-04,-9
2023-01-03,-5.8
2023-01-02,-1.5
2023-01-01,-5.6
