date,Vancouver,Victoria,Whitehorse
2023-07-18,17.8,19.14,14.5
2023-07-17,20.6,20.65,16.64
2023-07-16,20.1,21.05,18.7
2023-07-15,21.8,17.35,17.5
2023-07-14,19.25,17.35,16.45
2023-07-13,18.45,16.85,13.85
2023-07-12,19.14,18.85,12.75
2023-07-11,18.14,16.3,15.4
2023-07-10,16.89,15.6,18.75
2023-07-09,18.8,16.5,19.25
2023-07-08,18.14,15.6,23.5
2023-07-07,18.64,15.7,23.1
2023-07-06,20.39,17.39,19.95
2023-07-05,20.2,20.9,15.7
2023-07-04,20.3,21.45,17.29
2023-07-03,18.39,17.89,17.6
2023-07-02,18.29,17.35,15.6
2023-07-01,17.14,16.64,10.5
2023-06-30,17.64,18.35,13.15
2023-06-29,19.35,17.75,16.2
2023-06-28,19.39,15.75,18.14
2023-06-27,17.5,13.8,17.6
2023-06-26,17.89,15.45,15.6
2023-06-25,16.2,15.7,16.35
2023-06-24,16.64,15.15,17.85
2023-06-23,18.45,19.64,19.45
2023-06-22,16.3,16.54,19.14
2023-06-21,15.9,13.35,16.95
2023-06-20,13.45,12.65,17.5
2023-06-19,12.1,12.75,15.05
2023-06-18,12.65,13.2,16.55
2023-06-17,15.39,15.95,11.2
2023-06-16,17.14,17.25,10.75
2023-06-15,15.95,14,11.25
2023-06-14,14.25,14.05,10.45
2023-06-13,16.3,16.64,10.55
2023-06-12,17.39,17.14,11.35
2023-06-11,15.64,16.25,10
2023-06-10,13,13.14,11.95
2023-06-09,14.45,14.3,15
2023-06-08,17.5,15.7,16.29
2023-06-07,19.05,18.35,13.25
2023-06-06,17.45,18.64,10.1
2023-06-05,15.65,16.29,12.8
2023-06-04,16.7,14.85,11.5
2023-06-03,15.95,15.3,10.8
2023-06-02,15.4,14.9,9.5
2023-06-01,13.65,14.2,7.65
2023-05-31,13.64,14.55,6.25
2023-05-30,13.65,13.75,5.75
2023-05-29,15.1,14.15,8
2023-05-28,15.35,14,9.25
2023-05-27,16.8,14.8,7.5
2023-05-26,16.6,18,10.4
2023-05-25,15.2,16.3,10.39
2023-05-24,14.14,14.5,13.5
2023-05-23,12.3,11.05,9.44
2023-05-22,13.8,12.39,7.94
2023-05-21,15.2,16.1,10.2
2023-05-20,16.35,15.9,12.8
2023-05-19,17.05,16.2,14.1
2023-05-18,19.79,16.35,14.7
2023-05-17,16.95,16.14,16.14
2023-05-16,18,17.6,11.85
2023-05-15,18.5,21.8,8.94
2023-05-14,17.39,20.39,8.25
2023-05-13,15.85,19.85,9
2023-05-12,15.35,16.39,9.35
2023-05-11,14.95,13.55,9.4
2023-05-10,12.65,13.14,8.85
2023-05-09,12.6,12.45,6.55
2023-05-08,10.14,12,5.35
2023-05-07,11.6,11.65,7.4
2023-05-06,11.05,11.75,8.85
2023-05-05,11.1,11.15,1.75
2023-05-04,15.4,13.6,4.15
2023-05-03,15.05,14.6,4.64
2023-05-02,13.05,13.65,9.05
