glacier_id,lon,lat
RGI60-02.00160,-123.267,49.7703
RGI60-02.00161,-122.787,49.7683
RGI60-02.00162,-123.297,49.7711
RGI60-02.00163,-123.25,49.7713
RGI60-02.00164,-121.925,49.7535
RGI60-02.00165,-121.955,49.7683
RGI60-02.00166,-121.946,49.7702
RGI60-02.00167,-121.938,49.76
RGI60-02.00168,-121.942,49.7511
RGI60-02.00169,-122.599,49.7743
RGI60-02.00170,-123.239,49.774
RGI60-02.00171,-122.871,49.7715
RGI60-02.00172,-123.305,49.7762
RGI60-02.00173,-122.623,49.7326
RGI60-02.00174,-122.554,49.7374
RGI60-02.00175,-122.639,49.7614
RGI60-02.00176,-122.653,49.7549
RGI60-02.00177,-122.586,49.7433
RGI60-02.00178,-122.592,49.7393
RGI60-02.00179,-122.57,49.7412
RGI60-02.00180,-122.584,49.7579
RGI60-02.00181,-123.292,49.7773
RGI60-02.00182,-125.813,49.7815
RGI60-02.00183,-125.817,49.7852
RGI60-02.00184,-117.66,49.7852
RGI60-02.00185,-117.126,49.7838
RGI60-02.00186,-117.632,49.7889
RGI60-02.00187,-123.3,49.7864
RGI60-02.00188,-125.735,49.7916
RGI60-02.00189,-125.831,49.7925
RGI60-02.00190,-122.611,49.7939
RGI60-02.00191,-122.579,49.7945
RGI60-02.00192,-121.972,49.789
RGI60-02.00193,-121.981,49.7934
RGI60-02.00194,-115.089,49.7967
RGI60-02.00195,-123.314,49.7974
RGI60-02.00196,-123.261,49.7994
RGI60-02.00197,-122.676,49.7993
RGI60-02.00198,-123.266,49.7961
RGI60-02.00199,-123.274,49.7996
RGI60-02.00200,-122.564,49.8004
RGI60-02.00201,-122.605,49.795
RGI60-02.00202,-122.609,49.8014
RGI60-02.00203,-121.963,49.8066
RGI60-02.00204,-123.322,49.8074
RGI60-02.00205,-123.33,49.8128
RGI60-02.00206,-122.662,49.8121
RGI60-02.00207,-123.619,49.8098
RGI60-02.00208,-123.3,49.8025
RGI60-02.00209,-123.309,49.7911
RGI60-02.00210,-125.84,49.8145
RGI60-02.00211,-122.814,49.7802
RGI60-02.00212,-122.85,49.798
RGI60-02.00213,-122.823,49.7909
RGI60-02.00214,-122.86,49.7712
RGI60-02.00215,-122.868,49.8178
RGI60-02.00216,-122.871,49.7821
RGI60-02.00217,-122.879,49.8023
RGI60-02.00218,-122.824,49.7726
RGI60-02.00219,-122.845,49.7728
RGI60-02.00220,-122.8599854,49.77840424
RGI60-02.00221,-122.008,49.8205
RGI60-02.00222,-116.369,49.82
RGI60-02.00223,-123.625,49.8201
RGI60-02.00224,-121.999,49.8227
RGI60-02.00225,-121.971,49.8038
RGI60-02.00226,-121.981,49.8163
RGI60-02.00227,-117.741,49.8299
RGI60-02.00228,-123.556,49.8319
RGI60-02.00229,-122.848,49.834
RGI60-02.00230,-123.342,49.827
RGI60-02.00231,-117.654,49.835
RGI60-02.00232,-117.682,49.8338
RGI60-02.00233,-123.003,49.8342
RGI60-02.00234,-123.549,49.834
RGI60-02.00235,-123.54,49.8334
RGI60-02.00236,-122.843,49.8202
RGI60-02.00237,-122.889,49.8278
RGI60-02.00238,-122.867,49.8307
RGI60-02.00239,-122.882,49.8356
RGI60-02.00240,-122.872,49.8221
RGI60-02.00241,-123.326,49.8332
RGI60-02.00242,-123.318,49.8217
RGI60-02.00243,-123.332,49.8388
RGI60-02.00244,-123.552,49.8424
RGI60-02.00245,-123.326,49.8477
RGI60-02.00246,-123.609,49.8451
RGI60-02.00247,-123.547,49.8542
RGI60-02.00248,-122.924,49.8541
RGI60-02.00249,-122.683,49.8122
RGI60-02.00250,-122.67,49.8248
RGI60-02.00251,-122.598,49.8443
RGI60-02.00252,-122.631,49.8059
RGI60-02.00253,-122.672,49.838
RGI60-02.00254,-122.597,49.7873
RGI60-02.00255,-122.568,49.7866
RGI60-02.00256,-122.631,49.7762
RGI60-02.00257,-122.669,49.8132
RGI60-02.00258,-122.658,49.8206
RGI60-02.00259,-122.642,49.8446
RGI60-02.00260,-122.715,49.8614
RGI60-02.00261,-122.116,49.8676
RGI60-02.00262,-122.116,49.8632
RGI60-02.00263,-123.588,49.8669
RGI60-02.00264,-123.58,49.8588
RGI60-02.00265,-122.71,49.8662
RGI60-02.00266,-122.703,49.8676
RGI60-02.00267,-123.375,49.8719
RGI60-02.00268,-123.362,49.8679
RGI60-02.00269,-123.363,49.8608
RGI60-02.00270,-123.359,49.8615
RGI60-02.00271,-123.352,49.8647
RGI60-02.00272,-123.351,49.8737
